epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2973.32,0.88283,0.4595,1.05979,0.95242,0.81269,0.85271,0.75136,0.63926,0.36195,0.8302,0.007228,0.007228,0.007228
44,3042.85,0.8692,0.4559,1.04754,0.95054,0.82028,0.86115,0.75764,0.62038,0.3528,0.83256,0.007162,0.007162,0.007162
45,3112.49,0.86707,0.45284,1.05042,0.9453,0.81952,0.86187,0.75956,0.6505,0.35411,0.83311,0.007096,0.007096,0.007096
46,3182.19,0.86104,0.44604,1.05848,0.95466,0.81565,0.86283,0.75787,0.66177,0.35591,0.83835,0.00703,0.00703,0.00703
47,3250.94,0.85996,0.44453,1.05322,0.94508,0.82623,0.86324,0.76397,0.63578,0.36294,0.83598,0.006964,0.006964,0.006964
48,3319.92,0.86149,0.45122,1.05248,0.9556,0.82098,0.86187,0.75855,0.64181,0.35552,0.82722,0.006898,0.006898,0.006898
49,3389.03,0.85678,0.44798,1.05136,0.95099,0.83047,0.86365,0.75789,0.63819,0.35757,0.829,0.006832,0.006832,0.006832
50,3457.89,0.84993,0.4476,1.0458,0.96447,0.81387,0.86841,0.77269,0.59569,0.35062,0.82447,0.006766,0.006766,0.006766
51,3526.55,0.84462,0.44398,1.04065,0.95775,0.82039,0.87139,0.76597,0.62866,0.35356,0.82904,0.0067,0.0067,0.0067
52,3595.31,0.84627,0.43864,1.04205,0.94671,0.82928,0.86263,0.76093,0.69129,0.36037,0.83304,0.006634,0.006634,0.006634
53,3663.81,0.83553,0.43588,1.03369,0.96177,0.81565,0.86826,0.76934,0.64921,0.3402,0.82671,0.006568,0.006568,0.006568
54,3732.72,0.82999,0.43318,1.03203,0.94005,0.82513,0.86914,0.77057,0.64992,0.33915,0.82146,0.006502,0.006502,0.006502
55,3802.43,0.83668,0.42988,1.03695,0.95656,0.82232,0.86934,0.77036,0.63404,0.33242,0.81981,0.006436,0.006436,0.006436
56,3872.11,0.82947,0.42924,1.02895,0.95634,0.82513,0.8749,0.77848,0.58553,0.32664,0.81932,0.00637,0.00637,0.00637
57,3941.51,0.83287,0.432,1.03218,0.95958,0.82513,0.86622,0.76879,0.64928,0.35484,0.81519,0.006304,0.006304,0.006304
58,4010.28,0.82147,0.42097,1.02692,0.95702,0.81565,0.86136,0.76498,0.61421,0.34204,0.80854,0.006238,0.006238,0.006238
59,4078.96,0.82377,0.42653,1.02261,0.94221,0.8281,0.87525,0.77899,0.62203,0.33523,0.81298,0.006172,0.006172,0.006172
60,4147.93,0.8283,0.428,1.02292,0.94842,0.82837,0.87095,0.77679,0.60764,0.32537,0.80279,0.006106,0.006106,0.006106
61,4217.58,0.82147,0.42329,1.02592,0.94642,0.82721,0.86542,0.76465,0.67404,0.34715,0.82145,0.00604,0.00604,0.00604
62,4287.12,0.8157,0.42405,1.02918,0.95407,0.82494,0.8735,0.77388,0.63349,0.33448,0.81768,0.005974,0.005974,0.005974
63,4355.82,0.82082,0.42151,1.03574,0.94686,0.82395,0.86756,0.77593,0.64882,0.3245,0.82155,0.005908,0.005908,0.005908
64,4424.54,0.8075,0.41874,1.02853,0.94978,0.82957,0.8687,0.77359,0.61062,0.32682,0.8083,0.005842,0.005842,0.005842
65,4493.36,0.80183,0.41579,1.01131,0.96446,0.82454,0.88012,0.78272,0.622,0.32332,0.81174,0.005776,0.005776,0.005776
66,4562.38,0.80632,0.41136,1.02148,0.96178,0.82038,0.87294,0.7757,0.62562,0.32262,0.81314,0.00571,0.00571,0.00571
67,4632.12,0.80637,0.4168,1.02359,0.96009,0.82691,0.87929,0.78436,0.61163,0.32601,0.81582,0.005644,0.005644,0.005644
68,4701.5,0.79879,0.41366,1.02021,0.93755,0.83647,0.8766,0.78347,0.58611,0.33328,0.81223,0.005578,0.005578,0.005578
69,4770.56,0.79694,0.40924,1.01653,0.96176,0.82003,0.87719,0.78685,0.58074,0.31702,0.80893,0.005512,0.005512,0.005512
70,4839.39,0.79443,0.40727,1.00763,0.94779,0.83402,0.87112,0.7825,0.60068,0.32735,0.80604,0.005446,0.005446,0.005446
